,ST Code,STATE NAME,DT Code,DISTRICT NAME,SDT Code,SUB-DISTRICT NAME,Town Code,Area Name
143,28,ANDHRA PRADESH,534,Karimnagar,4420,Kodimial,0,Kodimial
144,28,ANDHRA PRADESH,534,Karimnagar,4421,Pegadapalle,0,Pegadapalle
145,28,ANDHRA PRADESH,534,Karimnagar,4422,Gangadhara,0,Gangadhara
146,28,ANDHRA PRADESH,534,Karimnagar,4423,Ramadugu,0,Ramadugu
147,28,ANDHRA PRADESH,534,Karimnagar,4424,Choppadandi,0,Choppadandi
148,28,ANDHRA PRADESH,534,Karimnagar,4425,Sultanabad,0,Sultanabad
149,28,ANDHRA PRADESH,534,Karimnagar,4426,Odela,0,Odela
150,28,ANDHRA PRADESH,534,Karimnagar,4427,Manakondur,0,Manakondur
151,28,ANDHRA PRADESH,534,Karimnagar,4428,Karimnagar,0,Karimnagar
152,28,ANDHRA PRADESH,534,Karimnagar,4428,Karimnagar,802911,Karimnagar (M Corp. + OG) (Part)
153,28,ANDHRA PRADESH,534,Karimnagar,4428,Karimnagar,802911,Karimnagar (M Corp.)
154,28,ANDHRA PRADESH,534,Karimnagar,4429,Boinpalle,0,Boinpalle
155,28,ANDHRA PRADESH,534,Karimnagar,4430,Vemulawada,0,Vemulawada
156,28,ANDHRA PRADESH,534,Karimnagar,4431,Konaraopeta,0,Konaraopeta
157,28,ANDHRA PRADESH,534,Karimnagar,4432,Yellareddipet,0,Yellareddipet
158,28,ANDHRA PRADESH,534,Karimnagar,4433,Gambhiraopet,0,Gambhiraopet
159,28,ANDHRA PRADESH,534,Karimnagar,4434,Mustabad,0,Mustabad
160,28,ANDHRA PRADESH,534,Karimnagar,4435,Sircilla,0,Sircilla
161,28,ANDHRA PRADESH,534,Karimnagar,4435,Sircilla,802912,Sircilla (M + OG)
162,28,ANDHRA PRADESH,534,Karimnagar,4435,Sircilla,802912,Sircilla (M)
163,28,ANDHRA PRADESH,534,Karimnagar,4436,Ellanthakunta,0,Ellanthakunta
164,28,ANDHRA PRADESH,534,Karimnagar,4437,Bejjanki,0,Bejjanki
165,28,ANDHRA PRADESH,534,Karimnagar,4438,Timmapur (LMD Colony),0,Timmapur (LMD Colony)
166,28,ANDHRA PRADESH,534,Karimnagar,4438,Timmapur (LMD Colony),802911,Karimnagar (M Corp. + OG) (Part)
167,28,ANDHRA PRADESH,534,Karimnagar,4439,Veenavanka,0,Veenavanka
168,28,ANDHRA PRADESH,534,Karimnagar,4440,Jammikunta,0,Jammikunta
169,28,ANDHRA PRADESH,534,Karimnagar,4441,Shankarapatnam,0,Shankarapatnam
170,28,ANDHRA PRADESH,534,Karimnagar,4442,Chigurumamidi,0,Chigurumamidi
171,28,ANDHRA PRADESH,534,Karimnagar,4443,Koheda,0,Koheda
172,28,ANDHRA PRADESH,534,Karimnagar,4444,Husnabad,0,Husnabad
173,28,ANDHRA PRADESH,534,Karimnagar,4445,Saidapur,0,Saidapur
174,28,ANDHRA PRADESH,534,Karimnagar,4446,Huzurabad,0,Huzurabad
175,28,ANDHRA PRADESH,534,Karimnagar,4447,Kamalapur,0,Kamalapur
176,28,ANDHRA PRADESH,534,Karimnagar,4448,Bheemadevarpalle,0,Bheemadevarpalle
177,28,ANDHRA PRADESH,534,Karimnagar,4449,Elkathurthi,0,Elkathurthi
178,28,ANDHRA PRADESH,535,Medak,0,Medak,0,Medak
179,28,ANDHRA PRADESH,535,Medak,4450,Kangti,0,Kangti
180,28,ANDHRA PRADESH,535,Medak,4451,Manoor,0,Manoor
181,28,ANDHRA PRADESH,535,Medak,4452,Narayankhed,0,Narayankhed
182,28,ANDHRA PRADESH,535,Medak,4453,Kalher,0,Kalher
183,28,ANDHRA PRADESH,535,Medak,4454,Shankarampet (A),0,Shankarampet (A)
184,28,ANDHRA PRADESH,535,Medak,4455,Papannapet,0,Papannapet
185,28,ANDHRA PRADESH,535,Medak,4456,Medak,0,Medak
186,28,ANDHRA PRADESH,535,Medak,4456,Medak,802913,Medak (M + OG)
187,28,ANDHRA PRADESH,535,Medak,4456,Medak,802913,Medak (M)
188,28,ANDHRA PRADESH,535,Medak,4457,Ramayampet,0,Ramayampet
189,28,ANDHRA PRADESH,535,Medak,4458,Dubbak,0,Dubbak
190,28,ANDHRA PRADESH,535,Medak,4459,Siddipet,0,Siddipet
191,28,ANDHRA PRADESH,535,Medak,4459,Siddipet,802914,Siddipet (M + OG)
192,28,ANDHRA PRADESH,535,Medak,4459,Siddipet,802914,Siddipet (M)
193,28,ANDHRA PRADESH,535,Medak,4460,Chinnakodur,0,Chinnakodur
194,28,ANDHRA PRADESH,535,Medak,4461,Nangnoor,0,Nangnoor
195,28,ANDHRA PRADESH,535,Medak,4462,Kondapak,0,Kondapak
196,28,ANDHRA PRADESH,535,Medak,4463,Thoguta,0,Thoguta
197,28,ANDHRA PRADESH,535,Medak,4464,Mirdoddi,0,Mirdoddi
198,28,ANDHRA PRADESH,535,Medak,4465,Doultabad,0,Doultabad
199,28,ANDHRA PRADESH,535,Medak,4466,Chegunta,0,Chegunta
200,28,ANDHRA PRADESH,535,Medak,4467,Shankarampet (R),0,Shankarampet (R)
201,28,ANDHRA PRADESH,535,Medak,4468,Kulcharam,0,Kulcharam
202,28,ANDHRA PRADESH,535,Medak,4469,Tekmal,0,Tekmal
203,28,ANDHRA PRADESH,535,Medak,4470,Alladurg,0,Alladurg
204,28,ANDHRA PRADESH,535,Medak,4471,Regode,0,Regode
205,28,ANDHRA PRADESH,535,Medak,4472,Raikode,0,Raikode
206,28,ANDHRA PRADESH,535,Medak,4473,Nyalkal,0,Nyalkal
207,28,ANDHRA PRADESH,535,Medak,4474,Zahirabad,0,Zahirabad
208,28,ANDHRA PRADESH,535,Medak,4474,Zahirabad,802915,Zahirabad (M + OG)
209,28,ANDHRA PRADESH,535,Medak,4474,Zahirabad,802915,Zahirabad (M)
210,28,ANDHRA PRADESH,535,Medak,4475,Kohir,0,Kohir
211,28,ANDHRA PRADESH,535,Medak,4476,Jharasangam,0,Jharasangam
